dqn,date,km,moto
10PH586,2/11/2026,98.34,0
10PH586,2/12/2026,77.93,0
10PH586,2/13/2026,105.07,0
10PH586,2/14/2026,0,0
10PH586,2/15/2026,0,0
10PH586,2/16/2026,83.35,0
10PH586,2/17/2026,66.3,0
10PH586,2/18/2026,115.06,0
10PH586,2/19/2026,87.2,0
10PH586,2/20/2026,88.31,0
10PH586,2/21/2026,0,0
10PH586,2/22/2026,0,0
10PH586,2/23/2026,0,0
77JC253,2/1/2026,0,0
77JC253,2/2/2026,38.76,0
77JC253,2/3/2026,68.62,0
77JC253,2/4/2026,41.72,0
77JC253,2/5/2026,57.45,0
77JC253,2/6/2026,44.41,0
77JC253,2/7/2026,33.63,0
77JC253,2/8/2026,45.91,0
77JC253,2/9/2026,67.55,0
77JC253,2/10/2026,21.28,0
77JC253,2/11/2026,51.01,0
77JC253,2/12/2026,73.52,0
77JC253,2/13/2026,63.57,0
77JC253,2/14/2026,47.67,0
77JC253,2/15/2026,53.43,0
77JC253,2/16/2026,29.85,0
77JC253,2/17/2026,37.58,0
77JC253,2/18/2026,39.46,0
77JC253,2/19/2026,51.07,0
77JC253,2/20/2026,50.49,0
77JC253,2/21/2026,46,0
77JC253,2/22/2026,0,0
77JC253,2/23/2026,0.27,0
10PH621,2/1/2026,0,0
10PH621,2/2/2026,121,0
10PH621,2/3/2026,128.86,0
10PH621,2/4/2026,143.57,0
10PH621,2/5/2026,112.21,0
10PH621,2/6/2026,83.42,0
10PH621,2/7/2026,0,0
10PH621,2/8/2026,0,0
10PH621,2/9/2026,124.43,0
10PH621,2/10/2026,150.65,0
10PH621,2/11/2026,169.73,0
10PH621,2/12/2026,122.02,0
10PH621,2/13/2026,135.99,0
10PH621,2/14/2026,0,0
10PH621,2/15/2026,0,0
10PH621,2/16/2026,85.3,0
10PH621,2/17/2026,133.76,0
10PH621,2/18/2026,198.22,0
10PH621,2/19/2026,69.76,0
10PH621,2/20/2026,134.36,0
10PH621,2/21/2026,0,0
10PH621,2/22/2026,0,0
10PH621,2/23/2026,0,0
10PN256,2/2/2026,99.39,0
10PN256,2/3/2026,97.54,0
10PN256,2/4/2026,110.36,0
10PN256,2/5/2026,154.52,0
10PN256,2/6/2026,176.3,0
10PN256,2/7/2026,0.06,0
10PN256,2/9/2026,107.38,0
10PN256,2/10/2026,69.27,0
10PN256,2/11/2026,80.69,0
10PN256,2/12/2026,58.9,0
10PN256,2/13/2026,182.95,0
10PN256,2/16/2026,129.38,0
10PN256,2/17/2026,158.63,0
10PN256,2/18/2026,137.79,0
10PN256,2/19/2026,84.37,0
10PN256,2/20/2026,86.51,0
10PE544,2/1/2026,0,0
10PE544,2/2/2026,149.89,0
10PE544,2/3/2026,172.35,0
10PE544,2/4/2026,98.56,0
10PE544,2/5/2026,85.31,0
10PE544,2/6/2026,109.51,0
10PE544,2/7/2026,0,0
10PE544,2/8/2026,0,0
10PE544,2/9/2026,140.4,0
10PE544,2/10/2026,44.93,0
10PE544,2/11/2026,74.22,0
10PE544,2/12/2026,106.66,0
10PE544,2/13/2026,135.11,0
10PE544,2/14/2026,0,0
10PE544,2/15/2026,0,0
10PE544,2/16/2026,138.55,0
10PE544,2/17/2026,154.98,0
10PE544,2/18/2026,129.15,0
10PE544,2/19/2026,152.76,0
10PE544,2/20/2026,109.75,0
10PE544,2/21/2026,0,0
10PE544,2/22/2026,0,0
10PE544,2/23/2026,0,0
10PH139,2/1/2026,19.33,0
10PH139,2/2/2026,93.03,0
10PH139,2/3/2026,39.52,0
10PH139,2/4/2026,173.68,0
10PH139,2/5/2026,99.08,0
10PH139,2/6/2026,114.18,0
10PH139,2/7/2026,67.79,0
10PH139,2/8/2026,200.61,0
10PH139,2/9/2026,96.51,0
10PH139,2/10/2026,105.75,0
10PH139,2/11/2026,113.39,0
10PH139,2/12/2026,44.6,0
10PH139,2/13/2026,58.83,0
10PH139,2/14/2026,48.55,0
10PH139,2/15/2026,64.93,0
10PH139,2/16/2026,50.67,0
10PH139,2/17/2026,63.69,0
10PH139,2/18/2026,52.52,0
10PH139,2/19/2026,69.93,0
10PH139,2/20/2026,66.81,0
10PH139,2/21/2026,50.99,0
10PH139,2/22/2026,51.94,0
10PH139,2/23/2026,11.73,0
10PH591,2/1/2026,0,0
10PH591,2/2/2026,158.1,0
10PH591,2/3/2026,169.19,0
10PH591,2/4/2026,82.18,0
10PH591,2/5/2026,132.14,0
10PH591,2/6/2026,115.33,0
10PH591,2/7/2026,0,0
10PH591,2/8/2026,0,0
10PH591,2/9/2026,54.89,0
10PH591,2/10/2026,122.03,0
10PH591,2/11/2026,79.93,0
10PH591,2/12/2026,0,0
10PH591,2/13/2026,0.13,0
10PH591,2/14/2026,0,0
10PH591,2/15/2026,0,0
10PH591,2/16/2026,0.07,0
10PH591,2/17/2026,0,0
10PH591,2/18/2026,0,0
10PH591,2/19/2026,0,0
10PH591,2/20/2026,0,0
10PH591,2/21/2026,0,0
10PH591,2/22/2026,0,0
10PH591,2/23/2026,0,0
99JE510,2/1/2026,8.53,0
99JE510,2/2/2026,204.77,0
99JE510,2/3/2026,130.61,0
99JE510,2/4/2026,178.7,0
99JE510,2/5/2026,86.9,0
99JE510,2/6/2026,216.64,0
99JE510,2/7/2026,0,0
99JE510,2/8/2026,8.28,0
99JE510,2/9/2026,125.1,0
99JE510,2/10/2026,198.52,0
99JE510,2/11/2026,0.06,0
99JE510,2/12/2026,185.77,0
99JE510,2/13/2026,220.63,0
99JE510,2/14/2026,0.07,0
99JE510,2/15/2026,9.1,0
99JE510,2/16/2026,198.14,0
99JE510,2/17/2026,120.52,0
99JE510,2/18/2026,181.57,0
99JE510,2/19/2026,95.2,0
99JE510,2/20/2026,106.69,0
99JE510,2/21/2026,0,0
99JE510,2/22/2026,7.53,0
99JE510,2/23/2026,17.11,0
99JF936,2/1/2026,0,0
99JF936,2/2/2026,204.01,0
99JF936,2/3/2026,0,0
99JF936,2/4/2026,203.78,0
99JF936,2/5/2026,203.81,0
99JF936,2/6/2026,0,0
99JF936,2/7/2026,0,0
99JF936,2/8/2026,0,0
99JF936,2/9/2026,204.97,0
99JF936,2/10/2026,169.34,0
99JF936,2/11/2026,203.67,0
99JF936,2/12/2026,203.72,0
99JF936,2/13/2026,203.57,0
99JF936,2/14/2026,0,0
99JF936,2/15/2026,0,0
99JF936,2/16/2026,204.28,0
99JF936,2/17/2026,203.69,0
99JF936,2/18/2026,10.38,0
99JF936,2/19/2026,0,0
99JF936,2/20/2026,160.42,0
99JF936,2/21/2026,124.73,0
99JF936,2/22/2026,125.93,0
99JF936,2/23/2026,0,0
77JM885,2/1/2026,65.64,0
77JM885,2/2/2026,83.84,0
77JM885,2/3/2026,73.58,0
77JM885,2/4/2026,115.75,0
77JM885,2/5/2026,65.7,0
77JM885,2/6/2026,59.06,0
77JM885,2/7/2026,37.81,0
77JM885,2/8/2026,51.8,0
77JM885,2/9/2026,107.63,0
77JM885,2/10/2026,70.11,0
77JM885,2/11/2026,24.98,0
77JM885,2/12/2026,45.34,0
77JM885,2/13/2026,56.07,0
77JM885,2/14/2026,61.04,0
77JM885,2/15/2026,70.41,0
77JM885,2/16/2026,77.85,0
77JM885,2/17/2026,37.05,0
77JM885,2/18/2026,62.97,0
77JM885,2/19/2026,70.35,0
77JM885,2/20/2026,58.2,0
77JM885,2/21/2026,95.18,0
77JM885,2/22/2026,43.95,0
77JM885,2/23/2026,0,0
77YA895,2/1/2026,128.46,0
77YA895,2/2/2026,161.69,0
77YA895,2/3/2026,164.9,0
77YA895,2/4/2026,38.22,0
77YA895,2/5/2026,137.89,0
77YA895,2/6/2026,126.84,0
77YA895,2/7/2026,43.69,0
77YA895,2/8/2026,100.69,0
77YA895,2/9/2026,106.65,0
77YA895,2/10/2026,80.18,0
77YA895,2/11/2026,102.28,0
77YA895,2/12/2026,87.99,0
77YA895,2/13/2026,85.7,0
77YA895,2/14/2026,93.11,0
77YA895,2/15/2026,87.96,0
77YA895,2/16/2026,143.32,0
77YA895,2/17/2026,90.68,0
77YA895,2/18/2026,141.98,0
77YA895,2/19/2026,115.25,0
77YA895,2/20/2026,83.53,0
77YA895,2/21/2026,119.1,0
77YA895,2/22/2026,55.73,0
77YA895,2/23/2026,14.59,0
10PH516,2/1/2026,0,0
10PH516,2/2/2026,127.55,0
10PH516,2/3/2026,101.21,0
10PH516,2/4/2026,146.48,0
10PH516,2/5/2026,161.93,0
10PH516,2/6/2026,216.23,0
10PH516,2/7/2026,0,0
10PH516,2/8/2026,0,0
10PH516,2/9/2026,190.87,0
10PH516,2/10/2026,224.22,0
10PH516,2/11/2026,166.93,0
10PH516,2/12/2026,210.41,0
10PH516,2/13/2026,177.58,0
10PH516,2/14/2026,0,0
10PH516,2/15/2026,0,0
10PH516,2/16/2026,134.76,0
10PH516,2/17/2026,159.2,0
10PH516,2/18/2026,182.64,0
10PH516,2/19/2026,90.62,0
10PH516,2/20/2026,153.49,0
10PH516,2/21/2026,0,0
10PH516,2/22/2026,0,0
10PH516,2/23/2026,0,0
90AH782,2/1/2026,0,0
90AH782,2/2/2026,86.4,0
90AH782,2/3/2026,94.08,0
90AH782,2/4/2026,122.35,0
90AH782,2/5/2026,116.11,0
90AH782,2/6/2026,126.07,0
90AH782,2/7/2026,0,0
90AH782,2/8/2026,0,0
90AH782,2/9/2026,183.3,0
90AH782,2/10/2026,140.32,0
90AH782,2/11/2026,124.76,0
90AH782,2/12/2026,60.71,0
90AH782,2/13/2026,123.19,0
90AH782,2/14/2026,0,0
90AH782,2/15/2026,0,0
90AH782,2/16/2026,102.49,0
90AH782,2/17/2026,0.11,0
90AH782,2/21/2026,0,0
90AH782,2/22/2026,1.64,0
90AH782,2/23/2026,0,0
10PS270,2/1/2026,0,0
10PS270,2/2/2026,509.97,0
10PS270,2/3/2026,143.44,0
10PS270,2/4/2026,357.26,0
10PS270,2/5/2026,552.1,0
10PS270,2/6/2026,233.79,0
10PS270,2/7/2026,0.44,0
10PS270,2/8/2026,0,0
10PS270,2/9/2026,187.14,0
10PS270,2/10/2026,118.82,0
10PS270,2/11/2026,128.9,0
10PS270,2/12/2026,41.41,0
10PS270,2/13/2026,126.02,0
10PS270,2/14/2026,0,0
10PS270,2/15/2026,0,0
10PS270,2/16/2026,441.59,0
10PS270,2/17/2026,311.12,0
10PS270,2/18/2026,156.22,0
10PS270,2/19/2026,197.32,0
10PS270,2/20/2026,176.11,0
10PS270,2/21/2026,0,0
10PS270,2/22/2026,0,0
10PS270,2/23/2026,0,0
10PE680,2/1/2026,127.02,0
10PE680,2/2/2026,102.49,0
10PE680,2/3/2026,108.59,0
10PE680,2/4/2026,138.32,0
10PE680,2/5/2026,134.77,0
10PE680,2/6/2026,84.51,0
10PE680,2/7/2026,155.11,0
10PE680,2/8/2026,136.79,0
10PE680,2/9/2026,137.76,0
10PE680,2/10/2026,118,0
10PE680,2/11/2026,94.12,0
10PE680,2/12/2026,90.99,0
10PE680,2/13/2026,135.31,0
10PE680,2/14/2026,117.54,0
10PE680,2/15/2026,126.51,0
10PE680,2/16/2026,136.09,0
10PE680,2/17/2026,150.35,0
10PE680,2/18/2026,81.93,0
10PE680,2/19/2026,79.93,0
10PE680,2/20/2026,171.96,0
10PE680,2/21/2026,137.66,0
10PE680,2/22/2026,95.23,0
10PE680,2/23/2026,7.76,0
90AL069,2/17/2026,0.3,0
99JK629,2/1/2026,19.51,0
99JK629,2/2/2026,35.13,0
99JK629,2/3/2026,56.95,0
99JK629,2/4/2026,67.04,0
99JK629,2/5/2026,22.99,0
99JK629,2/6/2026,62.85,0
99JK629,2/7/2026,0,0
99JK629,2/8/2026,0,0
99JK629,2/9/2026,33.68,0
99JK629,2/10/2026,29.46,0
99JK629,2/11/2026,49.19,0
99JK629,2/12/2026,56.26,0
99JK629,2/13/2026,78.5,0
99JK629,2/14/2026,61.8,0
99JK629,2/15/2026,0,0
99JK629,2/16/2026,75.5,0
99JK629,2/17/2026,41.57,0
99JK629,2/18/2026,64.1,0
99JK629,2/19/2026,41.95,0
99JK629,2/20/2026,38.27,0
99JK629,2/21/2026,0,0
99JK629,2/22/2026,0,0
99JK629,2/23/2026,15.31,0
10PC590,2/1/2026,0,0
10PC590,2/2/2026,41.03,0
10PC590,2/3/2026,36.36,0
10PC590,2/4/2026,32.48,0
10PC590,2/5/2026,20.17,0
10PC590,2/6/2026,51.13,0
10PC590,2/7/2026,0,0
10PC590,2/8/2026,0,0
10PC590,2/9/2026,29.96,0
10PC590,2/10/2026,22.05,0
10PC590,2/11/2026,22.3,0
10PC590,2/12/2026,31.18,0
10PC590,2/13/2026,42.99,0
10PC590,2/14/2026,0,0
10PC590,2/15/2026,0,0
10PC590,2/16/2026,32.87,0
10PC590,2/17/2026,53.48,0
10PC590,2/18/2026,22.45,0
10PC590,2/19/2026,50.52,0
10PC590,2/20/2026,33.37,0
10PC590,2/21/2026,0,0
10PC590,2/22/2026,0,0
10PC590,2/23/2026,0,0
90AL068,2/1/2026,0,0
90AL068,2/2/2026,72.8,0
90AL068,2/3/2026,49.09,0
90AL068,2/4/2026,95.72,0
90AL068,2/5/2026,101.04,0
90AL068,2/6/2026,95.48,0
90AL068,2/7/2026,0,0
90AL068,2/8/2026,0,0
90AL068,2/9/2026,148.85,0
90AL068,2/10/2026,65.84,0
90AL068,2/11/2026,92.55,0
90AL068,2/12/2026,49.03,0
90AL068,2/13/2026,59.19,0
90AL068,2/14/2026,0,0
90AL068,2/15/2026,0,0
90AL068,2/16/2026,153.95,0
90AL068,2/17/2026,32.93,0
90AL068,2/18/2026,177.09,0
90AL068,2/19/2026,110.26,0
90AL068,2/20/2026,101.93,0
90AL068,2/21/2026,0,0
90AL068,2/22/2026,0,0
90AL068,2/23/2026,0,0
10PJ120,2/1/2026,0,0
10PJ120,2/2/2026,0,0
10PJ120,2/3/2026,0,0
10PJ120,2/4/2026,0,0
10PJ120,2/5/2026,0,0
10PJ120,2/6/2026,0,0
10PJ120,2/7/2026,0,0
10PJ120,2/8/2026,0,0
10PJ120,2/9/2026,0,0
10PJ120,2/10/2026,0,0
10PJ120,2/11/2026,11.89,0
10PJ120,2/12/2026,41.04,0
10PJ120,2/13/2026,31.97,0
10PJ120,2/14/2026,0,0
10PJ120,2/15/2026,0,0
10PJ120,2/16/2026,36.11,0
10PJ120,2/17/2026,24.88,0
10PJ120,2/18/2026,27.12,0
10PJ120,2/19/2026,29.19,0
10PJ120,2/20/2026,24.54,0
10PJ120,2/21/2026,0,0
10PJ120,2/22/2026,0,0
10PJ120,2/23/2026,0,0
10PK361,2/1/2026,0.01,0
10PK361,2/2/2026,63.64,0
10PK361,2/3/2026,59.48,0
10PK361,2/4/2026,67.14,0
10PK361,2/5/2026,53.1,0
10PK361,2/6/2026,44.5,0
10PK361,2/7/2026,0,0
10PK361,2/8/2026,0,0
10PK361,2/9/2026,53.17,0
10PK361,2/10/2026,59,0
10PK361,2/11/2026,36.52,0
10PK361,2/12/2026,64.49,0
10PK361,2/13/2026,46.56,0
10PK361,2/14/2026,0,0
10PK361,2/15/2026,0,0
10PK361,2/16/2026,37.14,0
10PK361,2/17/2026,43.11,0
10PK361,2/18/2026,38.22,0
10PK361,2/19/2026,48.99,0
10PK361,2/20/2026,57.08,0
10PK361,2/21/2026,0,0
10PK361,2/22/2026,0,0
10PK361,2/23/2026,0,0
10PE184,2/1/2026,0,0
10PE184,2/2/2026,74.34,0
10PE184,2/3/2026,111.58,0
10PE184,2/4/2026,126.62,0
10PE184,2/5/2026,106.81,0
10PE184,2/6/2026,92.22,0
10PE184,2/7/2026,0,0
10PE184,2/8/2026,0,0
10PE184,2/9/2026,365.49,0
10PE184,2/10/2026,338.8,0
10PE184,2/11/2026,190.72,0
10PE184,2/12/2026,525.45,0
10PE184,2/13/2026,194,0
10PE184,2/14/2026,153.49,0
10PE184,2/15/2026,0,0
10PE184,2/16/2026,110.16,0
10PE184,2/17/2026,77.53,0
10PE184,2/18/2026,75.47,0
10PE184,2/19/2026,157.02,0
10PE184,2/20/2026,138.56,0
10PE184,2/21/2026,0,0
10PE184,2/22/2026,0,0
10PE184,2/23/2026,19.72,0
10PK360,2/1/2026,0,0
10PK360,2/2/2026,17.48,0
10PK360,2/3/2026,66.11,0
10PK360,2/4/2026,9.07,0
10PK360,2/5/2026,64.77,0
10PK360,2/6/2026,58.51,0
10PK360,2/7/2026,0,0
10PK360,2/8/2026,0,0
10PK360,2/9/2026,26.06,0
10PK360,2/10/2026,55.37,0
10PK360,2/11/2026,51.63,0
10PK360,2/12/2026,29.23,0
10PK360,2/13/2026,46.88,0
10PK360,2/14/2026,0,0
10PK360,2/15/2026,0,0
10PK360,2/16/2026,57.72,0
10PK360,2/17/2026,9.93,0
10PK360,2/18/2026,84.53,0
10PK360,2/19/2026,17.79,0
10PK360,2/20/2026,35.72,0
10PK360,2/21/2026,0,0
10PK360,2/22/2026,0,0
10PK360,2/23/2026,0,0
10PH751,2/1/2026,0,0
10PH751,2/2/2026,54.78,0
10PH751,2/3/2026,59.64,0
10PH751,2/4/2026,71,0
10PH751,2/5/2026,75.34,0
10PH751,2/6/2026,94.16,0
10PH751,2/7/2026,0,0
10PH751,2/8/2026,0,0
10PH751,2/9/2026,86.16,0
10PH751,2/10/2026,66.37,0
10PH751,2/11/2026,92.77,0
10PH751,2/12/2026,76.46,0
10PH751,2/13/2026,89.2,0
10PH751,2/14/2026,0,0
10PH751,2/15/2026,0,0
10PH751,2/16/2026,80.94,0
10PH751,2/17/2026,62.79,0
10PH751,2/18/2026,75.9,0
